Country,Code,CO2Emissions,YearlyChange,Percapita,Population,LifeExpectancy
Lesotho,LSO,318438,2.58,0.15,2075030,52.059
Liberia,LBR,846658,3.49,0.18,4586787,62.802
Libya,LBY,52696075,1.52,8.12,6492162,72.311
Lithuania,LTU,13685264,2.66,4.74,2889557,75.238
Luxembourg,LUX,10144632,3.45,17.51,579264,81.803
Macao,MAC,3106518,7.19,5.07,612836,83.854
Madagascar,MDG,3026047,2.85,0.12,24894370,65.931
Malawi,MWI,1815598,3.26,0.11,17205261,62.681
Malaysia,MYS,266251542,6.54,8.68,30684654,75.649
Maldives,MDV,1233015,7.19,2.59,475512,78.013
Mali,MLI,1606421,2.57,0.09,17965443,57.987
Malta,MLT,2257870,3.48,5.18,436097,82.063
Martinique,MTQ,2715477,1.72,7.21,376791,81.962
Mauritania,MRT,2564345,3.32,0.62,4163533,64.208
Mauritius,MUS,3192307,0,2.53,1261865,74.626
Mexico,MEX,441412750,-2.13,3.58,123333376,74.917
Moldova,MDA,8258774,2.99,2.03,4066009,71.617
Mongolia,MNG,18574260,18.09,6.08,3056364,69.321
Montenegro,MNE,16249039,2.27,25.9,627264,76.568
Morocco,MAR,57694464,0.54,1.64,35126283,75.974
Mozambique,MOZ,5859171,2.22,0.21,27829938,58.309
Myanmar,MMR,16701776,5.61,0.31,53045201,66.205
Namibia,NAM,3901830,4.42,1.65,2358044,62.625
Nepal,NPL,7833787,10.1,0.29,27263433,69.848
Netherlands,NLD,163419285,1.63,9.62,16981295,81.862
New Caledonia,NCL,2338717,7.22,8.53,274191,77.014
New Zealand,NZL,33276202,-0.14,7.14,4659265,81.859
Nicaragua,NIC,5325447,1.86,0.84,6303974,73.86
Niger,NER,2088475,0.15,0.1,20788798,61.137
Nigeria,NGA,82634214,0.7,0.44,185960241,53.541
North Korea,PRK,58708734,19.49,2.32,25307665,71.711
North Macedonia,MKD,8896732,1.62,4.28,2080743,75.498
Norway,NOR,43456012,0.85,8.28,5250949,82.029
Oman,OMN,87835773,2.09,19.61,4479219,77.142
Pakistan,PAK,178013820,9.13,0.87,203631353,66.77
Palau,PLW,41732,7.19,2.35,17725,73.089
Panama,PAN,11599764,2.37,2.87,4037078,77.964
Papua New Guinea,PNG,9086988,7.09,1.1,8271762,63.744
Paraguay,PRY,5998469,1.97,0.89,6777872,73.836
Peru,PER,57692879,8.16,1.87,30926032,76.044
Philippines,PHL,126922662,12.37,1.22,103663816,70.802
Poland,POL,296659670,2.67,7.81,37989220,78.11
Portugal,PRT,50142844,-2.36,4.86,10325538,81.444
Puerto Rico,PRI,712758,1.71,0.22,3283125,79.664
Qatar,QAT,98990085,1.79,37.29,2654374,79.868
Reunion,REU,1132331,3.55,1.3,869743,79.899
Romania,ROU,78770824,1.69,3.98,19796285,75.644
Russia,RUS,1661899300,-2.13,11.44,145275383,71.835
Rwanda,RWA,1403087,2.88,0.12,11668827,67.93
Saint Helena,SHN,13128,2.62,2.2,5956,80.251
Saint Kitts & Nevis,KNA,203036,1.51,3.93,51625,75.73
Saint Lucia,LCA,608182,1.51,3.38,180024,75.752
Saint Pierre & Miquelon,SPM,8842,1.51,1.49,5934,80.654
Saint Vincent and the Grenadines,VCT,362414,1.51,3.31,109459,72.193
Samoa,WSM,169939,7.18,0.87,194535,72.895
Sao Tome & Principe,STP,56185,2.6,0.28,203227,69.67
Saudi Arabia,SAU,517079407,0.92,15.94,32443447,74.761
Senegal,SEN,8247295,3.69,0.55,14993519,67.078
Serbia,SRB,41168059,2.27,4.65,8853963,75.505
Seychelles,SYC,519693,2.62,5.43,95710,73.226
Sierra Leone,SLE,1272332,3.43,0.17,7328834,53.444
Singapore,SGP,48381759,2.56,8.56,5653634,83.083
Slovakia,SVK,36817242,1.74,6.77,5442003,77.034
Slovenia,SVN,14722601,2.35,7.1,2074210,80.852
Solomon Islands,SLB,341748,7.18,0.55,619438,72.424
Somalia,SOM,1268442,2.57,0.09,14185636,56.324
South Africa,ZAF,390557850,-0.49,6.95,56207646,63.153
South Korea,KOR,604043830,0.45,11.85,50983457,82.379
South Sudan,SSD,4038496,4.18,0.37,10832518,57.12
Spain,ESP,251892320,-3.12,5.4,46634140,83.145
Sri Lanka,LKA,18454691,8.55,0.88,21021171,76.482
Sudan,SDN,13294106,4.18,0.33,39847439,64.663
Suriname,SUR,2152933,0.32,3.81,564888,71.358
Sweden,SWE,44694415,4.33,4.54,9836007,82.382
Switzerland,CHE,39666930,-2.3,4.73,8379917,83.31
Syria,SYR,38054696,1.78,2.18,17465575,70.315
Taiwan,TWN,276724868,1.91,11.72,23618200,79.927
Tajikistan,TJK,6049757,3.37,0.7,8663579,70.397
Tanzania,TZA,9731560,2.5,0.18,53049230,63.844
Thailand,THA,271040160,1.55,3.93,68971308,76.403
Timor-Leste,TLS,495687,4.63,0.41,1219288,68.735
Togo,TGO,2321546,5.47,0.31,7509951,60.22
Tonga,TON,251375,7.19,2.49,101133,70.607
Trinidad and Tobago,TTO,34974263,-5.92,25.39,1377560,73.1
Tunisia,TUN,29395965,0.82,2.6,11303945,76.115
Turkey,TUR,368122740,5.25,4.61,79827871,76.86
Turkmenistan,TKM,79279216,0.63,14,5662368,67.835
Turks and Caicos,TCA,65451,1.52,1.79,36559,79.732
Uganda,UGA,5009493,3.82,0.13,39649166,61.986
Ukraine,UKR,233220080,8.03,5.22,44713702,71.711
United Arab Emirates,ARE,218788684,4.43,23.37,9360980,77.47
United Kingdom,GBR,367860350,-6.38,5.55,66297944,81.111
United States,USA,5011686600,-2.01,15.52,323015995,78.885
Uruguay,URY,6508013,1.91,1.9,3424129,77.498
Uzbekistan,UZB,109347340,1.6,3.48,31441751,71.171
Vanuatu,VUT,137706,7.18,0.49,278330,70.021
Venezuela,VEN,175884256,-1.9,5.89,29851255,72.405
Vietnam,VNM,206042140,0.09,2.2,93640422,75.172
Western Sahara,ESH,207592,2.61,0.39,538749,69.496
Yemen,YEM,25647990,1.62,0.94,27168208,66.087
Zambia,ZMB,4230584,3.67,0.26,16363458,62.464
Zimbabwe,ZWE,10062628,-4.17,0.72,14030331,60.294
